lme_id,lme_name,specieskey,species,first_year
14,Iberian Coastal,335PS,Cymadusa filosa,2023
14,Iberian Coastal,33BHV,Cyperus albostriatus,2026
14,Iberian Coastal,34TT2,Dentex canariensis,2024
14,Iberian Coastal,37M79,Dreissena polymorpha,2026
14,Iberian Coastal,3BBYV,Erysiphe corylacearum,2022
14,Iberian Coastal,3RHCG,Kyphosus vaigiensis,2025
14,Iberian Coastal,3Y9WY,Martesia striata,2024
14,Iberian Coastal,4343K,Micropogonias undulatus,2023
14,Iberian Coastal,4CYRR,Paraleucilla magna,2022
14,Iberian Coastal,4JNKC,Platorchestia platensis,2023
14,Iberian Coastal,4RJGP,Rapana venosa,2025
14,Iberian Coastal,53MVS,Syllis pectinans,2023
14,Iberian Coastal,53MXK,Syllis variegata,2023
14,Iberian Coastal,5BBTY,Vibrio cholerae,2025
14,Iberian Coastal,692KX,Botrylloides niger,2025
14,Iberian Coastal,6BBL4,Crassula helmsii,2022
14,Iberian Coastal,6DR54,Dyspanopeus sayi,2023
14,Iberian Coastal,6KN8X,Gobius couchi,2023
14,Iberian Coastal,6S4TM,Mytilopsis leucophaeata,2025
14,Iberian Coastal,784DH,Polycera hedgpethi,2023
14,Iberian Coastal,7CD62,Tintinnopsis mortensenii,2023
14,Iberian Coastal,BSN7,Alitta virens,2023
14,Iberian Coastal,BT776,Novafabricia infratorquata,2023
14,Iberian Coastal,JTCR,Aurelia coerulea,2026
14,Iberian Coastal,M8HK,Boccardia proboscidea,2023
14,Iberian Coastal,N6NM,Branchiomma bombyx,2023
14,Iberian Coastal,S2HLK,Phenacoccus peruvianus,2025
6,Celtic-Biscay Shelf,3BBYV,Erysiphe corylacearum,2025
6,Celtic-Biscay Shelf,3CW7J,Euplokamis dunlapae,2026
6,Celtic-Biscay Shelf,3GWWV,Gonionemus vertens,2022
6,Celtic-Biscay Shelf,3LGQ4,Hexaplex trunculus,2022
6,Celtic-Biscay Shelf,3W8FJ,Lovenella assimilis,2022
6,Celtic-Biscay Shelf,436DK,Microsetella rosea,2022
6,Celtic-Biscay Shelf,44JYJ,Mulinia lateralis,2024
6,Celtic-Biscay Shelf,4JNKC,Platorchestia platensis,2022
6,Celtic-Biscay Shelf,4M3GY,Potamocorbula amurensis,2024
6,Celtic-Biscay Shelf,4Q86S,Ptilohyale littoralis,2022
6,Celtic-Biscay Shelf,4XXZ6,Smittoidea prolifica,2023
6,Celtic-Biscay Shelf,4Y752,Solidago altissima,2023
6,Celtic-Biscay Shelf,5686V,Thelepus japonicus,2023
6,Celtic-Biscay Shelf,573ZX,Tintinnus lususundae,2025
6,Celtic-Biscay Shelf,5XRJN,Cheilopogon furcatus,2023
6,Celtic-Biscay Shelf,6L6WT,Gymnodinium fuscum,2024
6,Celtic-Biscay Shelf,6S7R2,Neomysis awatschensis,2025
6,Celtic-Biscay Shelf,73PRD,Monstrilla grandis,2025
6,Celtic-Biscay Shelf,75D5D,Ostrea chilensis,2023
6,Celtic-Biscay Shelf,7BYV5,Tiaropsis multicirrata,2026
6,Celtic-Biscay Shelf,7CD62,Tintinnopsis mortensenii,2023
6,Celtic-Biscay Shelf,7RH2P,Haloa japonica,2023
6,Celtic-Biscay Shelf,CJ94,Amathia verticillata,2022
6,Celtic-Biscay Shelf,CVNP3,Rhopalophthalmus tartessicus,2025
6,Celtic-Biscay Shelf,DCGG,Anadara kagoshimensis,2026
6,Celtic-Biscay Shelf,F6BN,Aoroides longimerus,2022
6,Celtic-Biscay Shelf,LR6NG,Antithamnion hubbsii,2024
6,Celtic-Biscay Shelf,MPMP,Botrylloides giganteus,2025
6,Celtic-Biscay Shelf,RX5Y,Caulibugula zanzibariensis,2022
6,Celtic-Biscay Shelf,TY3MX,Zygoceros rhombus,2023
13,Mediterranean Sea,32MSC,Cuthona perca,2025
13,Mediterranean Sea,358BW,Diadumene cincta,2024
13,Mediterranean Sea,3LY3S,Himantura leoparda,2025
13,Mediterranean Sea,3Q94P,Isognomon legumen,2023
13,Mediterranean Sea,48SD8,Odonus niger,2024
13,Mediterranean Sea,4F8NM,Perophora japonica,2022
13,Mediterranean Sea,4F8P4,Perophora viridis,2023
13,Mediterranean Sea,4K84R,Pleopis schmackeri,2024
13,Mediterranean Sea,4LQ6W,Pomacanthus semicirculatus,2024
13,Mediterranean Sea,4NT55,Pseudochama corbierei,2024
