lme_id,lme_name,specieskey,species,reappearance_year,years_without_occurrences
14,Iberian Coastal,1006372,Chorizopora brongniartii,2022,12
14,Iberian Coastal,2225776,Eriocheir sinensis,2024,57
14,Iberian Coastal,2227612,Pilumnus spinifer,2025,7
14,Iberian Coastal,2234729,Penilia avirostris,2023,8
14,Iberian Coastal,2266009,Cordylophora caspia,2022,11
14,Iberian Coastal,2382461,Pomadasys incisus,2023,14
14,Iberian Coastal,2392664,Dentex gibbosus,2026,15
14,Iberian Coastal,2400921,Oedalechilus labeo,2023,12
14,Iberian Coastal,2412864,Sardinella aurita,2025,12
14,Iberian Coastal,3192611,Asterionella glacialis,2023,5
14,Iberian Coastal,4284320,Lagocephalus lagocephalus,2023,6
14,Iberian Coastal,4309906,Alpheus dentipes,2025,10
14,Iberian Coastal,4360210,Calma gobioophaga,2026,6
14,Iberian Coastal,4374605,Mytilaster minimus,2024,13
14,Iberian Coastal,5166440,Mecynocera clausi,2023,20
14,Iberian Coastal,5180090,Artemia monica,2024,9
14,Iberian Coastal,5194622,Syllis gracilis,2023,5
14,Iberian Coastal,5270682,Chara connivens,2025,6
14,Iberian Coastal,5278964,Gracilaria vermiculophylla,2022,5
14,Iberian Coastal,5422862,Cutleria multifida,2025,5
14,Iberian Coastal,5729905,Grateloupia filicina,2022,17
14,Iberian Coastal,7707408,Didemnum vexillum,2024,17
14,Iberian Coastal,9025372,Aplus dorbignyi,2022,7
14,Iberian Coastal,9517779,Steromphala adansonii,2024,29
14,Iberian Coastal,10673702,Steromphala albida,2024,6
6,Celtic-Biscay Shelf,1004642,Celleporaria brunnea,2024,17
6,Celtic-Biscay Shelf,1006399,Einhornia crustulenta,2023,6
6,Celtic-Biscay Shelf,2110811,Mytilicola intestinalis,2022,19
6,Celtic-Biscay Shelf,2114446,Acartia tonsa,2022,20
6,Celtic-Biscay Shelf,2224970,Palaemon macrodactylus,2025,6
6,Celtic-Biscay Shelf,2225797,Brachynotus sexdentatus,2023,12
6,Celtic-Biscay Shelf,2227663,Rhithropanopeus harrisii,2025,5
6,Celtic-Biscay Shelf,2251051,Prosuberites longispinus,2023,8
6,Celtic-Biscay Shelf,2265079,Rathkea octopunctata,2023,38
6,Celtic-Biscay Shelf,2265658,Ectopleura crocea,2025,6
6,Celtic-Biscay Shelf,2266151,Eudendrium capillare,2022,15
6,Celtic-Biscay Shelf,2285333,Pteria hirundo,2024,13
6,Celtic-Biscay Shelf,2320993,Pseudopolydora paucibranchiata,2025,5
6,Celtic-Biscay Shelf,2392628,Sarpa salpa,2022,5
6,Celtic-Biscay Shelf,2419426,Pteroplatytrygon violacea,2024,22
6,Celtic-Biscay Shelf,2656507,Polyopes lancifolius,2022,11
6,Celtic-Biscay Shelf,2658925,Pachymeniopsis lanceolata,2024,54
6,Celtic-Biscay Shelf,3193040,Chaetoceros rostratus,2023,40
6,Celtic-Biscay Shelf,3193507,Thalassiosira minima,2023,6
6,Celtic-Biscay Shelf,3193675,Zygoceros rhombus,2023,7
6,Celtic-Biscay Shelf,3194102,Pseudosolenia calcar-avis,2023,6
6,Celtic-Biscay Shelf,4371597,Nototeredo norvagica,2024,16
6,Celtic-Biscay Shelf,5185840,Kirchenpaueria halecioides,2022,10
6,Celtic-Biscay Shelf,5191262,Aplysia dactylomela,2023,5
6,Celtic-Biscay Shelf,5200696,Microcosmus squamiger,2025,5
6,Celtic-Biscay Shelf,5273451,Ulva gigantea,2023,7
6,Celtic-Biscay Shelf,6460818,Aoroides semicurvatus,2022,6
6,Celtic-Biscay Shelf,8492140,Tritia corniculum,2025,6
6,Celtic-Biscay Shelf,9150298,Phaeocystis pouchetii,2022,6
13,Mediterranean Sea,1048487,Stator limbatus,2022,5
13,Mediterranean Sea,2110709,Corycaeus clausi,2024,15
13,Mediterranean Sea,2114214,Pontella mediterranea,2024,29
13,Mediterranean Sea,2114223,Calocalanus pavo,2024,5
13,Mediterranean Sea,2114243,Paracalanus nanus,2023,8
13,Mediterranean Sea,2114962,Neocalanus gracilis,2024,11
13,Mediterranean Sea,2206602,Paracerceis sculpta,2022,5
13,Mediterranean Sea,2212511,Mesanthura romulea,2022,9
13,Mediterranean Sea,2218560,Platorchestia platensis,2022,6
13,Mediterranean Sea,2223416,Penaeus semisulcatus,2022,11
13,Mediterranean Sea,2225776,Eriocheir sinensis,2023,6
13,Mediterranean Sea,2257920,Diadumene leucolena,2023,5
13,Mediterranean Sea,2260059,Oulastrea crispata,2022,5
13,Mediterranean Sea,2276151,Ophiactis savignyi,2025,18
13,Mediterranean Sea,2301117,Littorina littorea,2024,5
13,Mediterranean Sea,2306710,Chaetopleura angulata,2023,46
13,Mediterranean Sea,2314184,Lepidonotus tenuisetosus,2023,5
13,Mediterranean Sea,2317572,Eurythoe complanata,2024,7
13,Mediterranean Sea,2323543,Diopatra marocensis,2022,13
13,Mediterranean Sea,2328734,Novafabricia infratorquata,2022,22
13,Mediterranean Sea,2331816,Pyura tessellata,2024,15
13,Mediterranean Sea,2385717,Heniochus intermedius,2024,13
13,Mediterranean Sea,2386919,Callionymus filamentosus,2023,5
13,Mediterranean Sea,2388152,Epinephelus areolatus,2025,10
13,Mediterranean Sea,2388910,Cephalopholis taeniops,2025,7
13,Mediterranean Sea,2391050,Decapterus russelli,2024,12
13,Mediterranean Sea,2392311,Acanthopagrus bifasciatus,2025,6
13,Mediterranean Sea,2394252,Sphyraena chrysotaenia,2024,5
13,Mediterranean Sea,2394612,Morone saxatilis,2025,15
13,Mediterranean Sea,2395422,Petroscirtes ancylodon,2024,12
13,Mediterranean Sea,2400787,Liza carinata,2026,46
13,Mediterranean Sea,2407780,Lagocephalus suezensis,2023,10
13,Mediterranean Sea,2509438,Phascolion convestitum,2022,44
13,Mediterranean Sea,2657651,Antithamnionella spirographidis,2023,9
13,Mediterranean Sea,2659725,Lophocladia trichoclados,2025,8
13,Mediterranean Sea,2660969,Laurencia chondrioides,2022,20
13,Mediterranean Sea,3222430,Vibrio vulnificus,2022,18
13,Mediterranean Sea,4086523,Verbena incompta,2025,6
13,Mediterranean Sea,4284320,Lagocephalus lagocephalus,2023,7
13,Mediterranean Sea,4285694,Oreochromis niloticus,2022,11
13,Mediterranean Sea,4307290,Thalamita poissonii,2026,52
13,Mediterranean Sea,4360210,Calma gobioophaga,2022,5
13,Mediterranean Sea,4360289,Caloria indica,2025,9
13,Mediterranean Sea,4362606,Cycloscala hyalina,2024,15
13,Mediterranean Sea,4369932,Smaragdia souverbiana,2024,26
13,Mediterranean Sea,5166357,Anomalocera patersonii,2024,9
13,Mediterranean Sea,5166646,Oithona plumifera,2024,6
13,Mediterranean Sea,5175631,Ligia oceanica,2025,5
13,Mediterranean Sea,5177561,Ampithoe valida,2023,6
13,Mediterranean Sea,5188827,Xenostrobus securis,2023,16
13,Mediterranean Sea,5199470,Pileolaria militaris,2023,5
13,Mediterranean Sea,5200503,Polyclinum constellatum,2023,5
13,Mediterranean Sea,5200931,Fistularia petimba,2024,6
13,Mediterranean Sea,5201040,Hippocampus fuscus,2022,10
13,Mediterranean Sea,5201390,Platycephalus indicus,2024,6
13,Mediterranean Sea,5209173,Acanthurus monroviae,2023,5
13,Mediterranean Sea,5423960,Emiliania huxleyi,2023,6
13,Mediterranean Sea,5717425,Clorida albolitura,2022,16
13,Mediterranean Sea,5718569,Agetus flaccus,2024,15
13,Mediterranean Sea,5961709,Seriola fasciata,2023,6
13,Mediterranean Sea,6461590,Ptilohyale littoralis,2023,12
13,Mediterranean Sea,6461663,Serejohyale spinidactylus,2023,12
13,Mediterranean Sea,6467647,Amphibalanus improvisus,2022,5
13,Mediterranean Sea,6507885,Pseudorhaphitoma iodolabiata,2022,5
